City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
333,Muravlenko,RU,63.7898,74.523,4.15,77,54,21.25,broken clouds
334,Emerald,AU,-23.5333,148.1667,67.33,50,29,9.15,scattered clouds
335,Gombong,ID,-7.6072,109.5142,75.34,91,100,4.07,overcast clouds
336,Contrecoeur,CA,45.8501,-73.2325,41.47,65,100,9.22,overcast clouds
337,Pangai,TO,-19.8,-174.35,78.91,78,75,2.3,light rain
338,Geraldton,AU,-28.7667,114.6,63.01,72,0,9.22,clear sky
339,Adre,TD,13.4667,22.2,67.33,18,37,11.34,scattered clouds
340,Noyakert,AM,39.8312,44.669,37.74,68,7,2.42,clear sky
341,Carmen,MX,18.6333,-91.8333,82.44,74,20,5.75,few clouds
342,Saint-Paul,RE,-21.0096,55.2707,77.11,83,58,2.17,light rain
343,Havre-Saint-Pierre,CA,50.2334,-63.5986,32.0,64,100,19.57,overcast clouds
344,Kikwit,CD,-5.041,18.8162,69.21,96,88,1.14,overcast clouds
345,Mutata,CO,7.2441,-76.4356,81.12,89,80,0.51,broken clouds
346,Polovinnoye,RU,54.7914,65.9864,1.08,92,14,5.53,few clouds
347,Blind River,CA,46.1834,-82.9582,33.91,97,100,18.57,snow
348,Basco,PH,20.4487,121.9702,79.43,79,50,20.42,scattered clouds
